"sample_id","mag_id","site","time","rel_abund","domain","phylum","class","order","family","genus","species","phylum2"
"L001","L001_bin.13","Influent","Summer",3.67453737011528,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Fastidiosipilaceae","JAAYZH01","JAAYZH01 sp012514965","Firmicutes"
"L001","L001_bin.14","Influent","Summer",0.99233625322149,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","4484-276","SABY01","","Bacteroidota"
"L001","L001_bin.17","Influent","Summer",7.56985138442929,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","UBA2632","UBA2632 sp012840785","Bacteroidota"
"L001","L001_bin.19","Influent","Summer",6.41148612968127,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Sedimentibacteraceae","Sedimentibacter","","Firmicutes"
"L001","L001_bin.2","Influent","Summer",1.4067184248964,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Saccharofermentanaceae","DUPM01","DUPM01 sp012838315","Firmicutes"
"L001","L001_bin.20","Influent","Summer",17.7202753489634,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum sp012728155","Bacteroidota"
"L001","L001_bin.3","Influent","Summer",1.91833446082712,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA1179","UBA1179 sp002340405","Bacteroidota"
"L001","L001_bin.6","Influent","Summer",0.157746613266263,"Bacteria","Verrucomicrobiota","Kiritimatiellae","RFP12","UBA3636","JAAZFF01","","Verrucomicrobiota"
"L001","L001_bin.7","Influent","Summer",1.89965218615482,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-03","Syner-03 sp002316795","Synergistota"
"L001","L003_bin.22","Influent","Summer",3.74665250413377,"Bacteria","Synergistota","Synergistia","Synergistales","Dethiosulfovibrionaceae","Pyramidobacter","Pyramidobacter piscolens_A","Synergistota"
"L001","L003_bin.25","Influent","Summer",1.29719424564757,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","JAFGAQ01","JAFGAQ01","","Verrucomicrobiota"
"L001","L003_bin.29","Influent","Summer",0.605180010278436,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","RUG11257","RUG11257 sp012513425","Bacteroidota"
"L001","L003_bin.3","Influent","Summer",1.17441629968415,"Bacteria","Fibrobacterota","Chitinivibrionia","Chitinivibrionales","Chitinispirillaceae","JAAYIG01","","Fibrobacterota"
"L001","L003_bin.31","Influent","Summer",0.383554686638419,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Lentimicrobiaceae","Lentimicrobium","Lentimicrobium sp002410555","Bacteroidota"
"L001","L003_bin.7","Influent","Summer",11.0923817145555,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas","Fermentimonas sp002398875","Bacteroidota"
"L001","L036_bin.1","Influent","Summer",8.44197280342366,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus","","Desulfobacterota"
"L001","L036_bin.11","Influent","Summer",0.461302258254315,"Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","JAAYFO01","JAAYFO01 sp012728215","Spirochaetota"
"L001","L036_bin.17","Influent","Summer",1.34654852773252,"Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia coccoides","Firmicutes"
"L001","L036_bin.19","Influent","Summer",3.06470776639422,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","","","Synergistota"
"L001","L036_bin.2","Influent","Summer",0.547057165237488,"Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Hespellia","Hespellia stercorisuis","Firmicutes"
"L001","L036_bin.20","Influent","Summer",0.12279268744899,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Trichococcus","Trichococcus flocculiformis","Firmicutes"
"L001","L036_bin.5","Influent","Summer",0.20127574947417,"Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","","","Firmicutes"
"L001","L038_bin.11","Influent","Summer",0.958886716596048,"Bacteria","Firmicutes_B","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","DTU018","","Firmicutes"
"L001","L038_bin.2","Influent","Summer",0.149197408701133,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","JAAYQA01","","Firmicutes"
"L001","L078_bin.37","Influent","Summer",0.853409177770482,"Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei","Halobacteriota"
"L001","L078_bin.9","Influent","Summer",2.88390210841607,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Geofilum sp002427105","Bacteroidota"
"L001","L080_bin.29","Influent","Summer",0.474116209872489,"Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","UBA412","UBA412 sp002495685","Methanobacteriota"
"L001","L080_bin.38","Influent","Summer",0.862029472495435,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Corynebacterium sp012838985","Actinobacteriota"
"L001","L081_bin.18","Influent","Summer",3.34011628662825,"Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium sp000435835","Firmicutes"
"L001","L081_bin.30","Influent","Summer",0.215507368123859,"Bacteria","Firmicutes_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","","","Firmicutes"
"L001","L081_bin.36","Influent","Summer",0.446032671308614,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","","Bacteroidota"
"L001","L081_bin.38","Influent","Summer",7.7856488108331,"Archaea","Halobacteriota","Methanomicrobia","Methanomicrobiales","Methanoculleaceae","Methanoculleus","","Halobacteriota"
"L001","L081_bin.4","Influent","Summer",0.451061933282495,"Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio legallii","Desulfobacterota"
"L001","L082_bin.12","Influent","Summer",0.88283708045222,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Thiopseudomonas","","Proteobacteria"
"L001","L082_bin.18","Influent","Summer",5.79972266291361,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-03","Syner-03 sp012727545","Synergistota"
"L001","L082_bin.27","Influent","Summer",0.661557502147662,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Comamonas","Comamonas denitrificans_A","Proteobacteria"
"L003","L001_bin.13","AD","Summer",2.59155034564867,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Fastidiosipilaceae","JAAYZH01","JAAYZH01 sp012514965","Firmicutes"
"L003","L001_bin.17","AD","Summer",0.826693109234354,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","UBA2632","UBA2632 sp012840785","Bacteroidota"
"L003","L001_bin.19","AD","Summer",2.8014445953772,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Sedimentibacteraceae","Sedimentibacter","","Firmicutes"
"L003","L001_bin.2","AD","Summer",1.19628752707149,"Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Saccharofermentanaceae","DUPM01","DUPM01 sp012838315","Firmicutes"
"L003","L001_bin.20","AD","Summer",5.8546973627259,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum sp012728155","Bacteroidota"
