"cluster","mag_id","NMDS1","NMDS2","NMDS3","NMDS4","NMDS5","NMDS6","NMDS7","NMDS8","NMDS9","NMDS10","NMDS11","NMDS12","NMDS13","NMDS14","NMDS15","NMDS16","NMDS17","NMDS18","NMDS19","NMDS20","bin_id","sample_id","domain","phylum","class","order","family","genus","species","phylum2"
1,"L001_bin.13",-0.450081328809923,-0.0739750244631154,-0.27761024476294,-0.141865161128426,0.105257829565938,-0.0521620632877782,0.154090959094911,-0.214078388182649,0.0737594145188342,-0.0372788295897431,0.0159333552445971,0.0504470273025648,-0.0481259864511955,0.01987024903443,0.100339757754271,0.0218797948338962,-0.0637411856031543,0.0944992304564174,0.0705188562816159,-0.0132507610138873,"bin.13","L001","Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Fastidiosipilaceae","JAAYZH01","JAAYZH01 sp012514965","Firmicutes"
3,"L001_bin.14",-0.10556949674952,0.458459897226576,0.389053913749369,-0.160145058452394,-0.10379213962595,-0.0772082737920935,-0.138979546082763,-0.0255564072417848,-0.206069630015816,0.18293913417077,0.265491814040336,0.0509525920389024,0.0793758261727774,0.0552445054572592,0.040518545978255,0.0291210618163557,-0.101740111947651,-0.141766335322336,0.0303090838551338,-0.169308650745428,"bin.14","L001","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","4484-276","SABY01","","Bacteroidota"
3,"L001_bin.17",-0.330029569715113,0.567796305125589,0.242253257588096,0.0383476995198614,-0.00401954938502274,-0.164679905534635,-0.172405299374038,0.111090984654449,0.00604660257094829,-0.199750168761947,0.0138368816464183,0.00337341412202576,-0.014794232346237,-0.119093398486055,0.134717917796861,-0.0444260979516237,-0.133950704761113,-0.0919316633853596,0.0435392744481164,0.132576192032681,"bin.17","L001","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","UBA2632","UBA2632 sp012840785","Bacteroidota"
1,"L001_bin.19",-0.581800476546698,-0.160745143323567,-0.379863497354237,0.000919034428656981,0.00559138488734471,0.027022745315234,-0.247878227429342,-0.208062198130982,0.0168470505875911,0.193472834417931,0.0488954713880218,0.0990482951768596,0.283129701964713,0.0605186863108594,-0.0263704814838762,-0.139248601289157,-0.0311144803588509,-0.0246982065184114,-0.25973185562143,0.220987381804706,"bin.19","L001","Bacteria","Firmicutes_A","Clostridia","Tissierellales","Sedimentibacteraceae","Sedimentibacter","","Firmicutes"
1,"L001_bin.2",-0.447090276696395,-0.126799425319209,-0.204054118986127,-0.0187896796914931,0.0825479012309815,0.0099741625269915,0.132790537549078,-0.173092016167327,0.165251834178578,-0.00229827683742254,-0.131260320931196,0.121194552368128,-0.0357492330889945,0.00708483685750733,0.0689144582954763,-0.0185978020251136,-0.0605728675256075,0.100158722233497,-0.0341384468765875,0.0605808365315707,"bin.2","L001","Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","Saccharofermentanaceae","DUPM01","DUPM01 sp012838315","Firmicutes"
3,"L001_bin.20",-0.192292770643153,0.324163481831422,0.194146406358964,-0.178828467078335,-0.0766390273486995,-0.137668267386835,-0.00294047201212764,-0.0494614470927541,0.0364196577543955,-0.122395155902203,-0.0422504514124686,-0.0359964167877006,-0.00238037718354616,-0.0197168134561908,-0.0296623990906541,0.0324348635227511,-0.0667622726220309,-0.00438515949627317,0.0231022974965136,0.0371234228961928,"bin.20","L001","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum sp012728155","Bacteroidota"
3,"L001_bin.3",-0.399260726618111,0.480871122248595,0.245129522899538,0.21479951377879,0.0413237699795908,-0.301050418969614,0.0663827820996921,-0.0778237421850377,0.157656246509523,-0.230910619646845,-0.145501300371964,0.01458032455575,0.0349073654398238,-0.066611601052194,-0.158133740279501,0.0463992994738584,0.0225330218294333,-0.0690150850230254,0.00620301986785354,0.0169228402575788,"bin.3","L001","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA1179","UBA1179 sp002340405","Bacteroidota"
3,"L001_bin.6",-0.278094582338434,0.142583120906318,0.0767114425619505,0.266115332062297,-0.0724402031217975,0.0263081575529452,0.310964654293333,-0.0871120910903412,0.397719537374058,0.11177313633455,0.0294850445023278,-0.0312231181275495,-0.199777831815098,-0.0402756955900709,0.0100037596769333,-0.0599928317980412,-0.0762170764835837,0.0830692321733093,-0.0932490135197283,0.220099684115546,"bin.6","L001","Bacteria","Verrucomicrobiota","Kiritimatiellae","RFP12","UBA3636","JAAZFF01","","Verrucomicrobiota"
1,"L001_bin.7",-0.43782070506297,-0.122616009898077,-0.0899479152202233,0.473211684069809,-0.175282023695977,0.104896497984799,-0.288975220089649,0.185754124241777,0.234387161353545,-0.0472979654142436,-0.0269871775212605,-0.0483492959362669,-0.0375613631696999,-0.012944018507108,0.0503912885366938,-0.0725658401432728,-0.0344916225239294,-0.025726280794083,0.00141634636707167,-0.0178256380629829,"bin.7","L001","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-03","Syner-03 sp002316795","Synergistota"
1,"L003_bin.19",-0.479974984255623,-0.0966241517889675,-0.300373562615691,-0.137700347850178,0.0706857705683041,-0.102404388910614,-0.0708937901900679,-0.0160171259843714,-0.0149966469401989,0.0567678166154754,0.0716916405549789,-0.0704260609886713,-0.117440450721834,-0.0284109528600381,0.0478628627434936,0.366070003994996,-0.312908007868921,-0.0921678311371848,-0.0681791607986636,-0.0483302233129783,"bin.19","L003","Bacteria","Firmicutes_A","Clostridia","Christensenellales","CAG-74","UBA1038","","Firmicutes"
