"nsaf","mag_id","gene_short","gene_short_MAG","time","site"
0.000174415341165529,"L082_bin.19","nosZ","nosZ-Thermomonas","Summer","Anoxic"
0.000335677187522195,"L004_bin.16","nosZ","nosZ-OLB10","Summer","Anoxic"
0.0002788896933925,"L004_bin.13","nosZ","nosZ-Ginsengibacter","Summer","Anoxic"
0.000914448794359385,"L082_bin.25","nosZ","nosZ-Thauera","Summer","Anoxic"
0.00217029585868738,"L082_bin.25","nirS","nirS-Thauera","Summer","Anoxic"
0.00178451068418157,"L082_bin.25","napC","napC-Thauera","Summer","Anoxic"
0.000278470940099118,"L005_bin.3","nosZ","nosZ-JAEUUM01","Summer","Anoxic"
0.000739733061391504,"L082_bin.26","nirS","nirS-Ottowia","Summer","Anoxic"
0.000382698634821931,"L082_bin.25","narZ","narZ-Thauera","Summer","Anoxic"
0.000525387099450461,"L004_bin.14","nirS","nirS-Thiobacillus","Summer","Anoxic"
0.000789198494068139,"L082_bin.25","norC","norC-Thauera","Summer","Anoxic"
0.000258033594582279,"L082_bin.12","nirS","nirS-Thiopseudomonas","Summer","Anoxic"
0.000115913528816258,"L039_bin.10","nosZ","nosZ-UBA5518","Summer","Anoxic"
9.42625901428273e-05,"L039_bin.10","napA","napA-UBA5518","Summer","Anoxic"
0.000320036896718052,"L004_bin.14","nirK","nirK-Thiobacillus","Summer","Oxic"
0.00151440139787202,"L082_bin.25","napC","napC-Thauera","Summer","Oxic"
0.000363606276221747,"L004_bin.14","nosZ","nosZ-Thiobacillus","Summer","Oxic"
0.00191000743679603,"L082_bin.25","nirS","nirS-Thauera","Summer","Oxic"
0.000837019576031827,"L082_bin.26","nirS","nirS-Ottowia","Summer","Oxic"
0.000349754608556156,"L082_bin.25","narZ","narZ-Thauera","Summer","Oxic"
0.00138909631766984,"L082_bin.25","norC","norC-Thauera","Summer","Oxic"
0.000693564379573115,"L004_bin.14","nirS","nirS-Thiobacillus","Summer","Oxic"
0.000295418673893586,"L004_bin.16","nosZ","nosZ-OLB10","Summer","Oxic"
