"mag_id","ko","cluster"
"L001_bin.13","K00133",1
"L001_bin.13","K01649",1
"L001_bin.13","K04486",1
"L001_bin.13","K07478",1
"L001_bin.13","K00600",1
"L001_bin.13","K03151",1
"L001_bin.13","K04487",1
"L001_bin.13","K01756",1
"L001_bin.13","K07460",1
"L001_bin.13","K03470",1
"L001_bin.13","K14540",1
"L001_bin.13","K02884",1
"L001_bin.13","K01955",1
"L001_bin.13","K01915",1
"L001_bin.13","K00554",1
"L001_bin.13","K02860",1
"L001_bin.13","K06960",1
"L001_bin.13","K02959",1
"L001_bin.13","K03106",1
"L001_bin.13","K09787",1
"L001_bin.13","K03110",1
"L001_bin.13","K03529",1
"L001_bin.13","K03685",1
"L001_bin.13","K02078",1
"L001_bin.13","K00995",1
"L001_bin.13","K14441",1
"L001_bin.13","K03565",1
"L001_bin.13","K03553",1
"L001_bin.13","K03742",1
"L001_bin.13","K01491",1
"L001_bin.13","K03466",1
"L001_bin.13","K01515",1
"L001_bin.13","K03469",1
"L001_bin.13","K02500",1
"L001_bin.13","K02501",1
"L001_bin.13","K00700",1
"L001_bin.13","K11358",1
"L001_bin.13","K00949",1
"L001_bin.13","K01783",1
"L001_bin.13","K06949",1
"L001_bin.13","K12132",1
"L001_bin.13","K11912",1
"L001_bin.13","K20074",1
"L001_bin.13","K06941",1
"L001_bin.13","K03500",1
"L001_bin.13","K00604",1
"L001_bin.13","K01462",1
"L001_bin.13","K04066",1
"L001_bin.13","K03763",1
"L001_bin.13","K02342",1
"L001_bin.13","K11749",1
"L001_bin.13","K00099",1
"L001_bin.13","K00981",1
"L001_bin.13","K00806",1
"L001_bin.13","K02838",1
"L001_bin.13","K09903",1
"L001_bin.13","K02357",1
"L001_bin.13","K02967",1
"L001_bin.13","K00657",1
"L001_bin.13","K02346",1
"L001_bin.13","K03664",1
"L001_bin.13","K25706",1
"L001_bin.13","K01520",1
"L001_bin.13","K08303",1
"L001_bin.13","K14155",1
"L001_bin.13","K01596",1
"L001_bin.13","K01810",1
"L001_bin.13","K01652",1
"L001_bin.13","K01687",1
"L001_bin.13","K00052",1
"L001_bin.13","K01704",1
"L001_bin.13","K01703",1
"L001_bin.13","K01586",1
"L001_bin.13","K18446",1
"L001_bin.13","K25153",1
"L001_bin.13","K25152",1
"L001_bin.13","K01990",1
"L001_bin.13","K01679",1
"L001_bin.13","K00027",1
"L001_bin.13","K04077",1
"L001_bin.13","K04078",1
"L001_bin.13","K01784",1
"L001_bin.13","K03431",1
"L001_bin.13","K00962",1
"L001_bin.13","K02956",1
"L001_bin.13","K01933",1
"L001_bin.13","K22391",1
"L001_bin.13","K06967",1
"L001_bin.13","K03086",1
"L001_bin.13","K02316",1
"L001_bin.13","K06871",1
"L001_bin.13","K03210",1
"L001_bin.13","K00773",1
"L001_bin.13","K07568",1
"L001_bin.13","K01714",1
"L001_bin.13","K00215",1
"L001_bin.13","K04094",1
"L001_bin.13","K03168",1
"L001_bin.13","K04096",1
"L001_bin.13","K07391",1
"L001_bin.13","K06942",1
"L001_bin.13","K01356",1
"L001_bin.13","K03666",1
"L001_bin.13","K00791",1
"L001_bin.13","K03572",1
"L001_bin.13","K03555",1
"L001_bin.13","K06168",1
"L001_bin.13","K10206",1
"L001_bin.13","K06872",1
"L001_bin.13","K01914",1
"L001_bin.13","K06901",1
"L001_bin.13","K04070",1
"L001_bin.13","K00548",1
"L001_bin.13","K24042",1
"L001_bin.13","K21071",1
"L001_bin.13","K07260",1
"L001_bin.13","K03671",1
"L001_bin.13","K06196",1
"L001_bin.13","K01005",1
"L001_bin.13","K03327",1
"L001_bin.13","K03734",1
"L001_bin.13","K03616",1
"L001_bin.13","K03617",1
"L001_bin.13","K03613",1
"L001_bin.13","K03612",1
"L001_bin.13","K03614",1
"L001_bin.13","K03615",1
"L001_bin.13","K00283",1
"L001_bin.13","K00282",1
"L001_bin.13","K02437",1
"L001_bin.13","K00605",1
"L001_bin.13","K07082",1
"L001_bin.13","K01812",1
"L001_bin.13","K02348",1
"L001_bin.13","K01653",1
"L001_bin.13","K01652",1
"L001_bin.13","K03734",1
"L001_bin.13","K21600",1
"L001_bin.13","K17686",1
"L001_bin.13","K01533",1
"L001_bin.13","K03928",1
"L001_bin.13","K00566",1
"L001_bin.13","K07396",1
"L001_bin.13","K23393",1
"L001_bin.13","K01304",1
"L001_bin.13","K06972",1
"L001_bin.13","K23876",1
"L001_bin.13","K03530",1
"L001_bin.13","K01744",1
"L001_bin.13","K03628",1
"L001_bin.13","K02909",1
"L001_bin.13","K02835",1
"L001_bin.13","K07566",1
"L001_bin.13","K02990",1
"L001_bin.13","K03111",1
"L001_bin.13","K02963",1
"L001_bin.13","K02939",1
"L001_bin.13","K02314",1
"L001_bin.13","K04075",1
"L001_bin.13","K00760",1
"L001_bin.13","K03798",1
"L001_bin.13","K01924",1
"L001_bin.13","K01005",1
"L001_bin.13","K20074",1
"L001_bin.13","K00948",1
"L001_bin.13","K00948",1
"L001_bin.13","K03978",1
"L001_bin.13","K02238",1
"L001_bin.13","K02340",1
"L001_bin.13","K00031",1
"L001_bin.13","K01893",1
"L001_bin.13","K03630",1
"L001_bin.13","K01734",1
"L001_bin.13","K07560",1
"L001_bin.13","K03070",1
"L001_bin.13","K01657",1
"L001_bin.13","K01658",1
"L001_bin.13","K00766",1
"L001_bin.13","K01609",1
"L001_bin.13","K01817",1
"L001_bin.13","K01696",1
"L001_bin.13","K01695",1
"L001_bin.13","K08296",1
"L001_bin.13","K03284",1
"L001_bin.13","K24217",1
"L001_bin.13","K07775",1
"L001_bin.13","K02483",1
"L001_bin.13","K06182",1
"L001_bin.13","K06178",1
"L001_bin.13","K02335",1
"L001_bin.13","K00859",1
"L001_bin.13","K00175",1
"L001_bin.13","K22132",1
"L001_bin.13","K07054",1
"L001_bin.13","K00266",1
"L001_bin.13","K00528",1
"L001_bin.13","K01759",1
"L001_bin.13","K00937",1
"L001_bin.13","K01524",1
"L001_bin.13","K09772",1
"L001_bin.13","K06997",1
"L001_bin.13","K21071",1
"L001_bin.13","K02687",1
"L001_bin.13","K03686",1
"L001_bin.13","K04043",1
"L001_bin.13","K03687",1
"L001_bin.13","K03705",1
"L001_bin.13","K02495",1
"L001_bin.13","K01885",1
"L001_bin.13","K01886",1
"L001_bin.13","K18888",1
"L001_bin.13","K03526",1
"L001_bin.13","K03527",1
"L001_bin.13","K00873",1
"L001_bin.13","K04567",1
"L001_bin.13","K03624",1
"L001_bin.13","K00088",1
"L001_bin.13","K01740",1
"L001_bin.13","K07139",1
"L001_bin.13","K01493",1
"L001_bin.13","K01754",1
"L001_bin.13","K01881",1
"L001_bin.13","K07052",1
"L001_bin.13","K01126",1
"L001_bin.13","K16211",1
"L001_bin.13","K09927",1
"L001_bin.13","K06989",1
"L001_bin.13","K11927",1
"L001_bin.13","K10947",1
"L001_bin.13","K01066",1
"L001_bin.13","K11105",1
"L001_bin.13","K07220",1
"L001_bin.13","K08968",1
"L001_bin.13","K09702",1
"L001_bin.13","K22278",1
"L001_bin.13","K06897",1
"L001_bin.13","K06933",1
"L001_bin.13","K06039",1
"L001_bin.13","K03790",1
"L001_bin.13","K08982",1
"L001_bin.13","K07141",1
"L001_bin.13","K01487",1
"L001_bin.13","K01775",1
"L001_bin.13","K00611",1
"L001_bin.13","K00821",1
"L001_bin.13","K00930",1
"L001_bin.13","K00145",1
"L001_bin.13","K10112",1
"L001_bin.13","K02647",1
"L001_bin.13","K09812",1
"L001_bin.13","K09811",1
"L001_bin.13","K03797",1
"L001_bin.13","K04083",1
"L001_bin.13","K02946",1
"L001_bin.13","K02906",1
"L001_bin.13","K02926",1
"L001_bin.13","K02892",1
"L001_bin.13","K02886",1
"L001_bin.13","K02965",1
"L001_bin.13","K02890",1
"L001_bin.13","K02982",1
"L001_bin.13","K02878",1
"L001_bin.13","K02904",1
"L001_bin.13","K02961",1
"L001_bin.13","K02874",1
"L001_bin.13","K02895",1
"L001_bin.13","K02931",1
"L001_bin.13","K02954",1
"L001_bin.13","K02994",1
"L001_bin.13","K02933",1
"L001_bin.13","K02881",1
"L001_bin.13","K02988",1
"L001_bin.13","K02907",1
"L001_bin.13","K02876",1
"L001_bin.13","K03076",1
"L001_bin.13","K00939",1
"L001_bin.13","K01265",1
"L001_bin.13","K02518",1
"L001_bin.13","K02952",1
"L001_bin.13","K02948",1
"L001_bin.13","K02986",1
"L001_bin.13","K03040",1
"L001_bin.13","K02879",1
"L001_bin.13","K01552",1
"L001_bin.13","K16786",1
"L001_bin.13","K16787",1
"L001_bin.13","K16785",1
"L001_bin.13","K06173",1
"L001_bin.13","K00763",1
"L001_bin.13","K01874",1
"L001_bin.13","K03424",1
"L001_bin.13","K19294",1
"L001_bin.13","K00174",1
"L001_bin.13","K01938",1
"L001_bin.13","K01424",1
"L001_bin.13","K07015",1
"L001_bin.13","K02356",1
"L001_bin.13","K03625",1
"L001_bin.13","K03601",1
"L001_bin.13","K03602",1
"L001_bin.13","K01662",1
"L001_bin.13","K00858",1
"L001_bin.13","K03402",1
"L001_bin.13","K03631",1
"L001_bin.13","K18682",1
"L001_bin.13","K09769",1
"L001_bin.13","K03101",1
"L001_bin.13","K06180",1
"L001_bin.13","K06217",1
"L001_bin.13","K07037",1
"L001_bin.13","K03595",1
"L001_bin.13","K07042",1
"L001_bin.13","K03584",1
"L001_bin.13","K10844",1
"L001_bin.13","K00705",1
"L001_bin.13","K02529",1
"L001_bin.13","K03972",1
"L001_bin.13","K23351",1
"L001_bin.13","K20509",1
"L001_bin.13","K03327",1
"L001_bin.13","K21929",1
"L001_bin.13","K21619",1
"L001_bin.13","K06923",1
"L001_bin.13","K02837",1
"L001_bin.13","K09817",1
"L001_bin.13","K04104",1
"L001_bin.13","K01962",1
"L001_bin.13","K01963",1
"L001_bin.13","K01961",1
"L001_bin.13","K02372",1
"L001_bin.13","K02160",1
"L001_bin.13","K09458",1
"L001_bin.13","K00059",1
"L001_bin.13","K00648",1
"L001_bin.13","K00645",1
"L001_bin.13","K01243",1
"L001_bin.13","K03152",1
"L001_bin.13","K01489",1
"L001_bin.13","K02968",1
"L001_bin.13","K12574",1
"L001_bin.13","K15771",1
"L001_bin.13","K15772",1
"L001_bin.13","K01176",1
"L001_bin.13","K00525",1
"L001_bin.13","K01139",1
"L001_bin.13","K00951",1
"L001_bin.13","K07462",1
"L001_bin.13","K00705",1
"L001_bin.13","K08974",1
"L001_bin.13","K06147",1
"L001_bin.13","K01338",1
"L001_bin.13","K02358",1
"L001_bin.13","K02355",1
"L001_bin.13","K02992",1
"L001_bin.13","K02950",1
"L001_bin.13","K01875",1
"L001_bin.13","K03216",1
"L001_bin.13","K09762",1
"L001_bin.13","K06958",1
"L001_bin.13","K00075",1
"L001_bin.13","K06023",1
"L001_bin.13","K13993",1
"L001_bin.13","K06221",1
"L001_bin.13","K00700",1
"L001_bin.13","K00975",1
"L001_bin.13","K00975",1
"L001_bin.13","K00703",1
"L001_bin.13","K01887",1
"L001_bin.13","K01519",1
"L001_bin.13","K06209",1
"L001_bin.13","K00003",1
"L001_bin.13","K10907",1
"L001_bin.13","K02836",1
"L001_bin.13","K01588",1
"L001_bin.13","K11175",1
"L001_bin.13","K00602",1
"L001_bin.13","K01945",1
"L001_bin.13","K00969",1
"L001_bin.13","K09710",1
"L001_bin.13","K02237",1
"L001_bin.13","K00560",1
"L001_bin.13","K00287",1
"L001_bin.13","K07058",1
"L001_bin.13","K04758",1
"L001_bin.13","K04759",1
"L001_bin.13","K09815",1
"L001_bin.13","K01870",1
"L001_bin.13","K05896",1
"L001_bin.13","K06024",1
"L001_bin.13","K00945",1
"L001_bin.13","K01868",1
"L001_bin.13","K01214",1
"L001_bin.13","K01620",1
"L001_bin.13","K09004",1
"L001_bin.13","K00209",1
"L001_bin.13","K16052",1
"L001_bin.13","K00874",1
