"mag_id","cluster","ORF","KO","description","B","C","COG_category","CAZy"
"L001_bin.13","Group 1","L001_bin.13_141510_4","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.13","Group 1","L001_bin.13_178608_7","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L001_bin.13","Group 1","L001_bin.13_21781_3","K01200","pullulanase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.13","Group 1","L001_bin.13_263036_8","K01187","alpha-glucosidase","Carbohydrate metabolism"," Galactose metabolism","G","GH13"
"L001_bin.13","Group 1","L001_bin.13_290679_5","K01214","isoamylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.13","Group 1","L001_bin.13_349278_38","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.13","Group 1","L001_bin.13_372232_13","K00690","sucrose phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L001_bin.13","Group 1","L001_bin.13_402884_2","K01209","alpha-L-arabinofuranosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH51"
"L001_bin.13","Group 1","L001_bin.13_421492_7","K01198","xylan 1,4-beta-xylosidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH43"
"L001_bin.13","Group 1","L001_bin.13_85383_8","K01176","malS; alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L001_bin.14","Group 3","L001_bin.14_114108_2","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
"L001_bin.14","Group 3","L001_bin.14_137565_1","K00705","4-alpha-glucanotransferase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH77"
"L001_bin.14","Group 3","L001_bin.14_339268_1","K00700","1,4-alpha-glucan branching enzyme","Carbohydrate metabolism"," Starch and sucrose metabolism","G","CBM48,GH13"
"L001_bin.14","Group 3","L001_bin.14_351659_2","K01186","sialidase-1","Lipid metabolism"," Sphingolipid metabolism","G","GH33"
"L001_bin.14","Group 3","L001_bin.14_371103_1","K01176","malS; alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L001_bin.14","Group 3","L001_bin.14_460868_1","K05349","beta-glucosidase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH3"
"L001_bin.14","Group 3","L001_bin.14_468727_1","K12373","hexosaminidase","Carbohydrate metabolism"," Amino sugar and nucleotide sugar metabolism","G","GH20"
"L001_bin.14","Group 3","L001_bin.14_7837_3","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L001_bin.14","Group 3","L001_bin.14_81669_2","K05343","maltose alpha-D-glucosyltransferase / alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH13"
"L001_bin.17","Group 3","L001_bin.17_196806_6","K07405","alpha-amylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH57"
"L001_bin.17","Group 3","L001_bin.17_27549_4","K01186","sialidase-1","Lipid metabolism"," Sphingolipid metabolism","G","GH33"
"L001_bin.17","Group 3","L001_bin.17_300705_3","K00688","glycogen phosphorylase","Carbohydrate metabolism"," Starch and sucrose metabolism","G","GH65,GT3,GT35"
